query_entity	gold_entity	w6_gold_rank_in_full_universe	w7_gold_rank_in_full_universe	delta_rank	w6_gold_in_top20_raw	w7_gold_in_top20_raw	w6_gold_injected	w7_gold_injected	w6_raw_top5	w7_raw_top5
malignant germ cell tumor of ovary	Trabectedin	1587	19	1568	False	True	True	False	Cholestyramine | Neratinib | Talaporfin | Infliximab | Levomethadone	Betamethasone | Hydrocortisone | Triamcinolone | Cortisone acetate | Methylprednisolone
acute gonococcal cervicitis	Demeclocycline	1568	13	1555	False	True	True	False	Omacetaxine mepesuccinate | Azathioprine | Acenocoumarol | Mebendazole | Tofacitinib	Fusidic acid | Oxytetracycline | Dexamethasone | Methylprednisolone | Prednisolone
migraine with or without aura, susceptibility to	Acetylsalicylic acid	1682	129	1553	False	False	True	True	Neratinib | Golimumab | Infliximab | Telotristat ethyl | Talaporfin	Fusidic acid | Methylprednisolone | Dexamethasone | Prednisolone | Cortisone acetate
pediatric hepatocellular carcinoma	Regorafenib	1593	45	1548	False	False	True	True	Cholestyramine | Neratinib | Talaporfin | Infliximab | Levomethadone	Betamethasone | Hydrocortisone | Triamcinolone | Methylprednisolone | Cortisone acetate
acute promyelocytic leukemia	Daunorubicin	1552	19	1533	False	True	True	False	Cholestyramine | Neratinib | Talaporfin | Infliximab | Levomethadone	Betamethasone | Hydrocortisone | Triamcinolone | Methylprednisolone | Cortisone acetate
thyroiditis (disease)	Hydrocortisone	1536	6	1530	False	True	True	False	Acenocoumarol | Vinflunine | Omacetaxine mepesuccinate | Tamoxifen | Azathioprine	Fusidic acid | Methylprednisolone | Cortisone acetate | Dexamethasone | Prednisolone
granuloma annulare	Prednisolone	1533	4	1529	False	True	True	False	Acenocoumarol | Mebendazole | Omacetaxine mepesuccinate | Azathioprine | Oseltamivir	Fusidic acid | Methylprednisolone | Dexamethasone | Prednisolone | Cortisone acetate
acute myeloid leukemia with CEBPA somatic mutations	Gemtuzumab ozogamicin	1578	50	1528	False	False	True	True	Cholestyramine | Neratinib | Talaporfin | Infliximab | Levomethadone	Betamethasone | Hydrocortisone | Triamcinolone | Methylprednisolone | Cortisone acetate
hemorrhoid	Hydrocortisone	1519	6	1513	False	True	True	False	Acenocoumarol | Omacetaxine mepesuccinate | Mebendazole | Beraprost | Oseltamivir	Fusidic acid | Dexamethasone | Methylprednisolone | Prednisolone | Cortisone acetate
pharyngitis	Ampicillin	1521	29	1492	False	False	True	True	Azathioprine | Omacetaxine mepesuccinate | Tofacitinib | Bexarotene | Adenosine phosphate	Fusidic acid | Oxytetracycline | Dexamethasone | Methylprednisolone | Methdilazine
acute lymphoblastic/lymphocytic leukemia	Mercaptopurine	1786	296	1490	False	False	True	True	Cholestyramine | Neratinib | Talaporfin | Infliximab | Levomethadone	Betamethasone | Hydrocortisone | Triamcinolone | Methylprednisolone | Cortisone acetate
plasma cell myeloma	Doxorubicin	1499	10	1489	False	True	True	False	Cholestyramine | Neratinib | Talaporfin | Infliximab | Levomethadone	Betamethasone | Methylprednisolone | Hydrocortisone | Triamcinolone | Cortisone acetate
yolk sac tumor	Doxorubicin	1499	10	1489	False	True	True	False	Cholestyramine | Neratinib | Talaporfin | Infliximab | Levomethadone	Betamethasone | Hydrocortisone | Triamcinolone | Cortisone acetate | Methylprednisolone
adenosarcoma	Doxorubicin	1498	10	1488	False	True	True	False	Cholestyramine | Neratinib | Talaporfin | Infliximab | Golimumab	Betamethasone | Hydrocortisone | Triamcinolone | Methylprednisolone | Cortisone acetate
acute myeloid leukemia with t(6;9)(p23;q34)	Doxorubicin	1496	10	1486	False	True	True	False	Cholestyramine | Neratinib | Talaporfin | Infliximab | Levomethadone	Betamethasone | Hydrocortisone | Triamcinolone | Methylprednisolone | Cortisone acetate
diffuse large B-cell lymphoma	Doxorubicin	1496	10	1486	False	True	True	False	Cholestyramine | Neratinib | Talaporfin | Infliximab | Levomethadone	Betamethasone | Hydrocortisone | Triamcinolone | Methylprednisolone | Cortisone acetate
therapy related acute myeloid leukemia and myelodysplastic syndrome	Doxorubicin	1496	10	1486	False	True	True	False	Cholestyramine | Neratinib | Talaporfin | Infliximab | Levomethadone	Betamethasone | Hydrocortisone | Triamcinolone | Methylprednisolone | Cortisone acetate
Burkitt lymphoma	Doxorubicin	1494	10	1484	False	True	True	False	Cholestyramine | Neratinib | Talaporfin | Infliximab | Levomethadone	Betamethasone | Hydrocortisone | Triamcinolone | Methylprednisolone | Cortisone acetate
diffuse large B-cell lymphoma of the central nervous system	Doxorubicin	1494	10	1484	False	True	True	False	Cholestyramine | Neratinib | Talaporfin | Infliximab | Levomethadone	Betamethasone | Hydrocortisone | Triamcinolone | Methylprednisolone | Cortisone acetate
Kaposi's sarcoma (disease)	Daunorubicin	1562	80	1482	False	False	True	True	Cholestyramine | Neratinib | Talaporfin | Levomethadone | Infliximab	Methylprednisolone | Hydrocortisone | Cortisone acetate | Betamethasone | Triamcinolone
medullary thyroid gland carcinoma	Levothyroxine	1629	148	1481	False	False	True	True	Cholestyramine | Neratinib | Talaporfin | Infliximab | Levomethadone	Betamethasone | Hydrocortisone | Cortisone acetate | Triamcinolone | Methylprednisolone
primary cutaneous T-cell lymphoma	Mechlorethamine	1486	17	1469	False	True	True	False	Cholestyramine | Neratinib | Talaporfin | Infliximab | Levomethadone	Betamethasone | Hydrocortisone | Methylprednisolone | Cortisone acetate | Triamcinolone
classic Hodgkin lymphoma	Mechlorethamine	1485	17	1468	False	True	True	False	Cholestyramine | Neratinib | Talaporfin | Infliximab | Golimumab	Betamethasone | Hydrocortisone | Methylprednisolone | Cortisone acetate | Triamcinolone
conjunctivitis	Demeclocycline	1477	12	1465	False	True	True	False	Azathioprine | Omacetaxine mepesuccinate | Tofacitinib | Tamoxifen | Bexarotene	Fusidic acid | Oxytetracycline | Dexamethasone | Methylprednisolone | Prednisolone
acute myeloid leukemia with t(8;16)(p11;p13) translocation	Aldesleukin	1523	58	1465	False	False	True	True	Cholestyramine | Neratinib | Talaporfin | Infliximab | Levomethadone	Betamethasone | Hydrocortisone | Triamcinolone | Methylprednisolone | Cortisone acetate
Langerhans cell histiocytosis	Mechlorethamine	1479	17	1462	False	True	True	False	Cholestyramine | Neratinib | Talaporfin | Infliximab | Levomethadone	Betamethasone | Methylprednisolone | Hydrocortisone | Cortisone acetate | Triamcinolone
mantle cell lymphoma	Mechlorethamine	1479	17	1462	False	True	True	False	Cholestyramine | Neratinib | Talaporfin | Infliximab | Levomethadone	Betamethasone | Methylprednisolone | Hydrocortisone | Cortisone acetate | Triamcinolone
ovarian clear cell adenocarcinoma	Carboplatin	1489	33	1456	False	False	True	True	Cholestyramine | Neratinib | Talaporfin | Infliximab | Levomethadone	Betamethasone | Hydrocortisone | Triamcinolone | Cortisone acetate | Methylprednisolone
allergic rhinitis	Tranilast	1580	127	1453	False	False	True	True	Alfacalcidol | Bexarotene | Podofilox | Azathioprine | Urokinase	Fusidic acid | Dexamethasone | Methylprednisolone | Oxytetracycline | Prednisolone
vasomotor rhinitis	Methylprednisolone	1453	3	1450	False	True	True	False	Azathioprine | Bexarotene | Podofilox | Alfacalcidol | Tofacitinib	Fusidic acid | Dexamethasone | Methylprednisolone | Oxytetracycline | Prednisolone
ornithosis	Demeclocycline	1462	12	1450	False	True	True	False	Azathioprine | Bexarotene | Omacetaxine mepesuccinate | Tofacitinib | Adenosine phosphate	Fusidic acid | Oxytetracycline | Dexamethasone | Methylprednisolone | Prednisolone
common cold	Methscopolamine	1572	132	1440	False	False	True	True	Omacetaxine mepesuccinate | Acenocoumarol | Azathioprine | Podofilox | Mebendazole	Fusidic acid | Oxytetracycline | Dexamethasone | Methylprednisolone | Methdilazine
allergic rhinitis	Dexchlorpheniramine	1502	63	1439	False	False	True	True	Alfacalcidol | Bexarotene | Podofilox | Azathioprine | Urokinase	Fusidic acid | Dexamethasone | Methylprednisolone | Oxytetracycline | Prednisolone
